# Derived from google/mozc symbol.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
⊿	きごう|けいさん|さんかく|さんかくけい|すうがく|ちょっかくさんかく|ちょっかくさんかくけい|でるた|とらいあんぐる	三角形	1840
⋮	さんてん|さんてんりーだ|さんてんりーだー|てん	省略記号 三点リーダー	1935
⋯	あまり|さんてん|さんてんりーだ|さんてんりーだー|てん	省略記号 三点リーダー	1934
⋰	さんてん|さんてんりーだ|さんてんりーだー|てん	省略記号 三点リーダー	1933
⋱	さんてん|さんてんりーだ|さんてんりーだー|てん	省略記号 三点リーダー	1932
⌒	きごう|けいさん|こ|すうがく	弧	1839
⌘	こまんど|こまんどきー	コマンドキー	1271
⌚	うでどけい|とけい	時計記号	1268
⌥	おぷしょん|おぷしょんきー	オプションキー	1270
⌫	ばっくすぺーす|ばっくすぺーすきー	バックスペースキー	1269
␣	くうはく|すぺーす	空白記号	1998
①	きごう|まるいち	丸数字	1456
②	きごう|まるに	丸数字	1455
③	きごう|まるさん	丸数字	1454
④	きごう|まるし|まるよん	丸数字	1453
⑤	きごう|まるご	丸数字	1452
⑥	きごう|まるろく	丸数字	1451
⑦	きごう|まるしち|まるなな	丸数字	1450
⑧	きごう|まるはち	丸数字	1449
⑨	きごう|まるきゅう|まるく	丸数字	1448
⑩	きごう|まるじゅう	丸数字	1447
⑪	きごう|まるじゅういち	丸数字	1446
⑫	きごう|まるじゅうに	丸数字	1445
⑬	きごう|まるじゅうさん	丸数字	1444
⑭	きごう|まるじゅうし|まるじゅうよん	丸数字	1443
⑮	きごう|まるじゅうご	丸数字	1442
⑯	きごう|まるじゅうろく	丸数字	1441
⑰	きごう|まるじゅうしち|まるじゅうなな	丸数字	1440
⑱	きごう|まるじゅうはち	丸数字	1439
⑲	きごう|まるじゅうきゅう|まるじゅうく	丸数字	1438
⑳	きごう|まるにじゅう	丸数字	1437
⓪	きごう|まるぜろ|まるれい	丸数字	1457
⓿	きごう|まるぜろ|まるれい	丸数字	762
─	けいせん|ほそわく|よこ	罫線	1690
━	けいせん|ふとわく|よこ	罫線	1679
│	けいせん|たて|ほそわく	罫線	1689
┃	けいせん|たて|ふとわく	罫線	1678
┌	けいせん|ひだりうえ|ほそわく	罫線	1688
┏	けいせん|ひだりうえ|ふとわく	罫線	1677
┐	けいせん|ほそわく|みぎうえ	罫線	1687
┓	けいせん|ふとわく|みぎうえ	罫線	1676
└	けいせん|ひだりした|ほそわく	罫線	1685
┗	けいせん|ひだりした|ふとわく	罫線	1674
┘	けいせん|ほそわく|みぎした	罫線	1686
┛	けいせん|ふとわく|みぎした	罫線	1675
├	けいせん	罫線	1684
┝	けいせん	罫線	1663
┠	けいせん	罫線	1668
┣	けいせん	罫線	1673
┤	けいせん	罫線	1682
┥	けいせん	罫線	1661
┨	けいせん	罫線	1666
┫	けいせん	罫線	1671
┬	けいせん|ほそわく	罫線	1683
┯	けいせん	罫線	1667
┰	けいせん	罫線	1662
┳	けいせん|ふとわく	罫線	1672
┴	けいせん|ほそわく	罫線	1681
┷	けいせん	罫線	1665
┸	けいせん	罫線	1660
┻	けいせん|ふとわく	罫線	1670
┼	けいせん|まんなか	罫線	1680
┿	けいせん|まんなか	罫線	1664
╂	けいせん|まんなか	罫線	1659
╋	けいせん|まんなか	罫線	1669
▓	くろぬり|しかく|だーくしぇーど	ダークシェード	1880
■	しかく|ずけい	黒四角	1898
□	しかく|ずけい	四角	1899
▢	かどまる|しかく	角丸正方形	1879
▣	いれこ|しかく	入れ子正方形	1878
▤	しかく|よこぬり	横塗り正方形	1877
▥	しかく|たてぬり	縦塗り正方形	1876
▦	しかく|じゅうじぬり	十字塗り正方形	1875
▧	しかく|ななめぬり	斜め塗り正方形＼	1874
▨	しかく|ななめぬり	斜め塗り正方形／	1873
▩	しかく|ななめじゅうじぬり	斜め十字塗り正方形	1872
▲	さんかく|ずけい	黒三角	1896
△	さんかく|ずけい	三角	1897
▶	さんかく|ずけい|みぎ|みぎさんかく	右向黒三角	1892
▷	さんかく|ずけい|みぎ|みぎさんかく	右向三角	1893
▼	ぎゃくさんかく|さんかく|ずけい	逆黒三角	1894
▽	ぎゃくさんかく|さんかく|ずけい	逆三角	1895
◀	さんかく|ずけい|ひだり|ひだりさんかく	左向黒三角	1890
◁	さんかく|ずけい|ひだり|ひだりさんかく	左向三角	1891
◆	しかく|ずけい|だいや|ひし|ひしがた	黒ひしがた	1900
◇	しかく|ずけい|だいや|ひし|ひしがた	ひしがた	1901
◉	じゃのめ|ずけい|まる	蛇の目	1903
○	しろまる|ずけい|まる	丸	1906
◎	ずけい|にじゅうまる|まる	二重丸	1904
●	くろまる|ずけい|まる	黒丸	1905
◯	きごう|しろまる|まる	大きな丸	1806
☀	たいよう|てんき|はれ	天気	1296
☁	くも|くもり|てんき	天気	1294
☂	あめ|かさ|てんき	天気	1293
☃	てんき|ゆき|ゆきだるま	天気	1291
☄	こめっと|ながれぼし	流れ星	1290
★	くろほし|くろぼし|ずけい|ほし	黒星	1907
☆	しろほし|しろぼし|ずけい|ほし	星	1908
☇	かみなり	天気	1289
☈	らいう	天気	1288
☎	でんわ	電話	1655
☏	でんわ	電話	1656
☐	ちぇっくぼっくす	チェックボックス	1603
☑	ちぇっく|ちぇっくぼっくす	チェックボックス	1602
☒	ちぇっく|ちぇっくぼっくす|ばつ|ぺけ	チェックボックス	1601
☓	ちぇっく|ななめじゅうじ|ばつ|ぺけ|ぺけじ	斜め十字	1600
☔	あめ|かさ|てんき	天気	1292
☕	こうちゃ|こーひー|てぃーかっぷ	ティーカップ	1284
☖	ごて|しょうぎ	将棋	1654
☗	しょうぎ|せんて	将棋	1653
☘	くろーばー	クローバー	1285
☚	ひだりへ	左向き指差し	1865
☛	みぎへ	右向き指差し	1866
☜	ひだりへ	左向き指差し	1863
☝	うえへ	上向き指差し	1862
☞	みぎへ	右向き指差し	1864
☟	したへ	下向き指差し	1861
☠	がいこつ|どくぶつ|どくろ	骸骨記号	1641
☡	こーしょん|ちゅうい	注意記号	1640
☢	ほうしゃのう	放射能記号	1639
☣	ばいおはざーど	バイオハザード記号	1638
☤	かどぅけうす|けりゅけいおん	ケリュケイオン	1637
☥	あんく	アンク	1636
☯	いんやん|いんよう	陰陽	1635
☰	はっけ	八卦	1634
☱	はっけ	八卦	1633
☲	はっけ	八卦	1632
☳	はっけ	八卦	1631
☴	はっけ	八卦	1630
☵	はっけ	八卦	1629
☶	はっけ	八卦	1628
☷	はっけ	八卦	1627
☸	ほうりん	法輪記号	1626
☹	かおもじ|むむ	顔文字	1606
☺	えがお|かおもじ|にこにこ	顔文字	1605
☻	えがお|かおもじ|にこにこ	顔文字	1604
☼	たいよう|てんき|はれ	天気	1295
☽	みかづき	右三日月	1287
☾	みかづき	左三日月	1286
☿	すいせい|せんせいじゅつ	水星	1625
♀	きごう|きんせい|せんせいじゅつ|めす	雌記号, 金星	1929
♁	せんせいじゅつ|ちきゅう	地球	1624
♂	おす|かせい|きごう|せんせいじゅつ	雄記号, 火星	1928
♃	せんせいじゅつ|もくせい	木星	1623
♄	せんせいじゅつ|どせい	土星	1622
♅	せんせいじゅつ|てんのうせい	天王星	1621
♆	かいおうせい|せんせいじゅつ	海王星	1620
♇	せんせいじゅつ|めいおうせい	冥王星	1619
♈	おひつじざ|せいざ	牡羊座	1618
♉	おうしざ|せいざ	牡牛座	1617
♊	せいざ|ふたござ	双子座	1616
♋	かにざ|せいざ	蟹座	1615
♌	ししざ|せいざ	獅子座	1614
♍	おとめざ|せいざ	乙女座	1613
♎	せいざ|てんびんざ	天秤座	1612
♏	さそりざ|せいざ	蠍座	1611
♐	いてざ|せいざ	射手座	1610
♑	せいざ|やぎざ	山羊座	1609
♒	せいざ|みずがめざ	水瓶座	1608
♓	うおざ|せいざ	魚座	1607
♔	きんぐ|ちぇす	チェス	1283
♕	くぃーん|くいーん|ちぇす	チェス	1282
♖	ちぇす|るーく	チェス	1281
♗	ちぇす|びしょっぷ	チェス	1280
♘	ちぇす|ないと	チェス	1279
♙	ちぇす|ぽーん	チェス	1278
♚	きんぐ|ちぇす	チェス	1277
♛	くぃーん|くいーん|ちぇす	チェス	1276
♜	ちぇす|るーく	チェス	1275
♝	ちぇす|びしょっぷ	チェス	1274
♞	ちぇす|ないと	チェス	1273
♟	ちぇす|ぽーん	チェス	1272
♠	すぺーど	スペード	1649
♡	はーと	ハート	1648
♢	だいや|ひし|ひしがた	ダイヤ	1646
♣	くらぶ|くろーばー|みつば	クラブ	1643
♤	すぺーど	スペード	1650
♥	はーと	ハート	1647
♦	だいや|ひし|ひしがた	ダイヤ	1645
♧	くらぶ|くろーばー|みつば	クラブ	1644
♨	おんせん	温泉記号	1642
♪	おんがく|おんぷ|きごう	音符	1812
♫	おんがく|おんぷ|きごう	音符	1811
♬	おんがく|おんぷ|きごう	音符	1810
♭	おんがく|きごう|ふらっと	フラット	1813
♮	おんがく|きごう|なちゅらる	ナチュラル	1809
♯	おんがく|きごう|しゃーぷ	シャープ(音楽記号)	1814
♲	りさいくる	リサイクル記号	1597
♺	りさいくる	リサイクル記号	1596
♻	りさいくる	リサイクル記号	1595
♼	りさいくる	リサイクル記号	1594
♽	りさいくる	リサイクル記号	1593
♿	くるまいす	車椅子記号	1592
⚀	さいころ	サイコロ	1591
⚁	さいころ	サイコロ	1590
⚂	さいころ	サイコロ	1589
⚃	さいころ	サイコロ	1588
⚄	さいころ	サイコロ	1587
⚅	さいころ	サイコロ	1586
⚖	てんびん	天秤	1585
⚙	ぎあ|はぐるま	歯車	1584
⚠	けいこく|ちゅうい	警告記号	1583
⚰	かんおけ	棺桶記号	1582
⛉	しょうぎ	将棋	1652
⛊	しょうぎ	将棋	1651
✁	きごう|はさみ	はさみ	851
✂	きごう|はさみ	はさみ	850
✃	きごう|はさみ	はさみ	849
✄	きごう|はさみ	はさみ	848
✆	きごう|でんわ	電話	847
✇	きごう|てーぷ|てーぷどらいぶ	テープドライブ	846
✈	きごう|ひこうき	飛行機	845
✉	きごう|ふうとう	封筒	844
✌	きごう|ぴーす|ぶい	ピース	843
✍	きごう|てがき|めも	手書き	842
✎	えんぴつ|きごう	鉛筆	841
✏	えんぴつ|きごう	鉛筆	840
✐	えんぴつ|きごう	鉛筆	839
✑	きごう|ぺん|ぺんさき|まんねんひつ	ペン先	838
✒	きごう|ぺん|ぺんさき|まんねんひつ	ペン先	837
✓	きごう|ちぇっく	チェックマーク	1599
✔	きごう|ちぇっく	チェックマーク	1598
✕	かける|きごう|ばつ|ぺけ	乗算記号	836
✖	かける|きごう|ばつ|ぺけ	乗算記号	835
✗	きごう|ばつ|ぺけ	バツマーク	834
✘	きごう|ばつ|ぺけ	バツマーク	833
✙	きごう|くろす|じゅうじ|じゅうじか	十字架	832
✚	きごう|くろす|じゅうじ|じゅうじか	十字架	831
✛	きごう|くろす|じゅうじ|じゅうじか	十字架	830
✜	きごう|くろす|じゅうじ|じゅうじか	十字架	829
✝	きごう|くろす|じゅうじ|じゅうじか	十字架	828
✞	きごう|くろす|じゅうじ|じゅうじか	十字架	827
✟	きごう|くろす|じゅうじ|じゅうじか	十字架	826
✠	きごう|くろす|じゅうじ|じゅうじか|まるたじゅうじ	マルタ十字	825
✡	きごう|だびで|だびでのほし|ほし|ろくぼうせい	ダビデの星	824
✢	あすたりすく|あすてりすく|きごう	アスタリスク	823
✣	あすたりすく|あすてりすく|きごう	アスタリスク	822
✤	あすたりすく|あすてりすく|きごう	アスタリスク	821
✥	あすたりすく|あすてりすく|きごう	アスタリスク	820
✦	きごう|ほし	星	819
✧	きごう|ほし	星	818
✩	きごう|ほし	星	817
✪	きごう|ほし	星	816
✫	きごう|ほし	星	815
✬	きごう|ほし	星	814
✭	きごう|ほし	星	813
✮	きごう|ほし	星	812
✯	きごう|ほし	星	811
✰	きごう|ほし	星	810
✱	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	809
✲	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	808
✳	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	807
✴	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	806
✵	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	805
✶	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	804
✷	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	803
✸	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	802
✹	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	801
✺	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	800
✻	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	799
✼	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	798
✽	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	797
✾	あすたりすく|あすてりすく|きごう|はな|ほし	花	796
✿	きごう|はな	花	795
❀	きごう|はな	花	794
❁	きごう|はな	花	793
❂	きごう|ほし	星	792
❃	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	791
❄	きごう|ゆき	雪	790
❅	きごう|ゆき	雪	789
❆	きごう|ゆき	雪	788
❇	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	787
❈	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	786
❉	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	785
❊	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	784
❋	あすたりすく|あすてりすく|きごう|ほし	アスタリスク	783
❍	きごう|ずけい|まる	丸	782
❏	きごう|しかく|ずけい	四角	781
❐	きごう|しかく|ずけい	四角	780
❑	きごう|しかく|ずけい	四角	779
❒	きごう|しかく|ずけい	四角	778
❖	きごう|ずけい|ひし|ひしがた	ダイヤモンド	777
❘	きごう|たてせん|たてぼう	縦棒	776
❙	きごう|たてせん|たてぼう	縦棒	775
❚	きごう|たてせん|たてぼう	縦棒	774
❛	きごう|くぉーと	シングルクォート	773
❜	あぽすとろふぃ|かんま|きごう|くぉーと|こんま	シングルクォート	772
❝	きごう|くぉーと|だぶるくぉーてしょん|だぶるくおーてーしょん|だぶるくおーと	ダブルクォート	771
❞	きごう|くぉーと|だぶるくぉーてしょん|だぶるくおーてーしょん|だぶるくおーと	ダブルクォート	770
❡	きごう|せくしょん|だんらく	段落記号	769
❢	えくすくらめーしょん|かんたんふ|きごう|びっくり	感嘆符	768
❣	えくすくらめーしょん|かんたんふ|きごう|びっくり	感嘆符	767
❤	きごう|はーと	ハート	766
❥	きごう|はーと	ハート	765
❦	きごう|はーと	ハート	764
❧	きごう|はーと	ハート	763
❶	きごう|まるいち	丸数字	761
❷	きごう|まるに	丸数字	760
❸	きごう|まるさん	丸数字	759
❹	きごう|まるし|まるよん	丸数字	758
❺	きごう|まるご	丸数字	757
❻	きごう|まるろく	丸数字	756
❼	きごう|まるしち|まるなな	丸数字	755
❽	きごう|まるはち	丸数字	754
❾	きごう|まるきゅう|まるく	丸数字	753
❿	きごう|まるじゅう	丸数字	752
➀	きごう|まるいち	丸数字	750
➁	きごう|まるに	丸数字	749
➂	きごう|まるさん	丸数字	748
➃	きごう|まるし|まるよん	丸数字	747
➄	きごう|まるご	丸数字	746
➅	きごう|まるろく	丸数字	745
➆	きごう|まるしち|まるなな	丸数字	744
➇	きごう|まるはち	丸数字	743
➈	きごう|まるきゅう|まるく	丸数字	742
➉	きごう|まるじゅう	丸数字	741
➊	きごう|まるいち	丸数字	739
➋	きごう|まるに	丸数字	738
➌	きごう|まるさん	丸数字	737
➍	きごう|まるし|まるよん	丸数字	736
➎	きごう|まるご	丸数字	735
➏	きごう|まるろく	丸数字	734
➐	きごう|まるしち|まるなな	丸数字	733
➑	きごう|まるはち	丸数字	732
➒	きごう|まるきゅう|まるく	丸数字	731
➓	きごう|まるじゅう	丸数字	730
➔	きごう|みぎ|やじるし	右矢印	729
➘	きごう|みぎした|やじるし	右下矢印	728
➙	きごう|みぎ|やじるし	右矢印	727
➚	きごう|みぎうえ|やじるし	右上矢印	726
➛	きごう|みぎ|やじるし	右矢印	725
➜	きごう|みぎ|やじるし	右矢印	724
➝	きごう|みぎ|やじるし	右矢印	723
➞	きごう|みぎ|やじるし	右矢印	722
➟	きごう|みぎ|やじるし	右矢印	721
➠	きごう|みぎ|やじるし	右矢印	720
➡	きごう|みぎ|やじるし	右矢印	719
➢	きごう|みぎ|やじるし	右矢印	718
➣	きごう|みぎ|やじるし	右矢印	717
➤	きごう|みぎ|やじるし	右矢印	716
➥	きごう|みぎ|やじるし	右矢印	715
➦	きごう|みぎ|やじるし	右矢印	714
➧	きごう|みぎ|やじるし	右矢印	713
➨	きごう|みぎ|やじるし	右矢印	712
➩	きごう|みぎ|やじるし	右矢印	711
➪	きごう|みぎ|やじるし	右矢印	710
➫	きごう|みぎ|やじるし	右矢印	709
➬	きごう|みぎ|やじるし	右矢印	708
➭	きごう|みぎ|やじるし	右矢印	707
➮	きごう|みぎ|やじるし	右矢印	706
➯	きごう|みぎ|やじるし	右矢印	705
➱	きごう|みぎ|やじるし	右矢印	704
➲	きごう|みぎ|やじるし	右矢印	703
➳	きごう|みぎ|やじるし	右矢印	702
➴	きごう|みぎした|やじるし	右下矢印	701
➵	きごう|みぎ|やじるし	右矢印	700
➶	きごう|みぎうえ|やじるし	右上矢印	699
➷	きごう|みぎした|やじるし	右下矢印	698
➸	きごう|みぎ|やじるし	右矢印	697
➹	きごう|みぎうえ|やじるし	右上矢印	696
➺	きごう|みぎ|やじるし	右矢印	695
➻	きごう|みぎ|やじるし	右矢印	694
➼	きごう|みぎ|やじるし	右矢印	693
➽	きごう|みぎ|やじるし	右矢印	692
➾	きごう|みぎ|やじるし	右矢印	691
⤴	やじるし	矢印	1015
⤵	やじるし	矢印	1014
⦿	ずけい|まる|まるなかぐろ	丸中黒	1902
⬟	ごかく|ずけい	黒五角	1888
⬠	ごかく|ずけい	五角	1889
⬬	ずけい|だえん|ちょうえん	横長黒楕円	1886
⬭	ずけい|だえん|ちょうえん	横長楕円	1887
⬮	ずけい|だえん|ちょうえん	縦長黒楕円	1884
⬯	ずけい|だえん|ちょうえん	縦長楕円	1885
⺋	ふしづくり|ぶしゅ|まげわりふ	部首	656
⺮	たけかんむり|ぶしゅ	部首	537
　	くうはく|すぺーす	空白	1999
、	てん|とうてん	読点	2025
。	くてん|まる	句点	2024
〃	おくりじ|おどり|おどりじ|おなじ|おなじく|かさねじ|きごう|くりかえし|じゅうてん|じょうじ|どう|どうじょう|のの|ののじ|ののじてん|ののてん|ゆすりじ	繰り返し記号 同上	1993
〄	きごう|じす	JISマーク	988
々	おくりじ|おどり|おどりじ|おなじ|かさねじ|きごう|くりかえし|じゅうてん|じょうじ|どう|のま|ゆすりじ	繰り返し記号 踊り字	1992
〆	きごう|しめ	しめ	1991
〇	きごう|ぜろ|れい	漢数字ゼロ	1990
〈〉	かっこ|やまかっこ	山括弧	1958
《》	かっこ|やまかっこ	二重山括弧	1957
「」	かぎかっこ|かっこ	かぎ括弧	1954
『』	かぎかっこ|かっこ	二重かぎ括弧	1953
【】	かっこ	すみつき括弧	1952
〒	きごう|ゆうびん|ゆうびんばんごう	郵便番号	1871
〓	きごう|げた	げた記号	1860
〔〕	かっこ|こうかっこ	甲括弧	1963
〘〙	かっこ|こうかっこ	二重甲括弧	1961
〚〛	かくかっこ|かっこ	二重角括弧	1960
〜	から|きごう|なみ|にょろ|より|ー	波ダッシュ	1980
〝	きごう	始め爪括弧	1966
〝〟	かっこ|だぶるみにゅーと|つめかっこ|ののかぎ	爪括弧	1949
〟	きごう	終わり爪括弧	1965
〠	きごう|ゆうびん	郵便記号	987
〶	きごう|ゆうびん	郵便記号	986
〼	ます	枡記号	985
〽	いおりてん|うた	庵点 歌記号	984
ぁ	あ|こがきもじ|すてがな	捨て仮名 小書き文字	1371
ぁ゙	ぁ|あ|だくてん	濁点付き仮名	81
あ゙	あ|だくてん	濁点付き仮名	82
ぃ	い|こがきもじ|すてがな	捨て仮名 小書き文字	1370
ぃ゙	ぃ|い|だくてん	濁点付き仮名	79
い゙	い|だくてん	濁点付き仮名	80
ぅ	う|こがきもじ|すてがな	捨て仮名 小書き文字	1369
ぅ゙	ぅ|う|だくてん|ゔ	濁点付き仮名	78
ぇ	え|こがきもじ|すてがな	捨て仮名 小書き文字	1368
ぇ゙	ぇ|え|だくてん	濁点付き仮名	76
え゙	え|だくてん	濁点付き仮名	77
ぉ	お|こがきもじ|すてがな	捨て仮名 小書き文字	1367
ぉ゙	ぉ|お|だくてん	濁点付き仮名	74
お゙	お|だくてん	濁点付き仮名	75
か゚	か|が|びだくおん	鼻濁音	10
き゚	き|ぎ|びだくおん	鼻濁音	9
く゚	く|ぐ|びだくおん	鼻濁音	8
け゚	け|げ|びだくおん	鼻濁音	7
こ゚	こ|ご|びだくおん	鼻濁音	6
っ	こがきもじ|すてがな|つ	捨て仮名 小書き文字	1366
っ゙	だくてん|っ|づ	濁点付き仮名	73
な゙	だくてん|な	濁点付き仮名	72
に゙	だくてん|に	濁点付き仮名	71
ぬ゙	だくてん|ぬ	濁点付き仮名	70
ね゙	だくてん|ね	濁点付き仮名	69
の゙	だくてん|の	濁点付き仮名	68
ま゙	だくてん|ま	濁点付き仮名	67
み゙	だくてん|み	濁点付き仮名	66
む゙	だくてん|む	濁点付き仮名	65
め゙	だくてん|め	濁点付き仮名	64
も゙	だくてん|も	濁点付き仮名	63
ゃ	こがきもじ|すてがな|や	捨て仮名 小書き文字	1365
ゃ゙	だくてん|ゃ|や	濁点付き仮名	61
や゙	だくてん|や	濁点付き仮名	62
ゅ	こがきもじ|すてがな|ゆ	捨て仮名 小書き文字	1364
ゅ゙	だくてん|ゅ|ゆ	濁点付き仮名	59
ゆ゙	だくてん|ゆ	濁点付き仮名	60
ょ	こがきもじ|すてがな|よ	捨て仮名 小書き文字	1363
ょ゙	だくてん|ょ|よ	濁点付き仮名	57
よ゙	だくてん|よ	濁点付き仮名	58
ら゙	だくてん|ら	濁点付き仮名	56
り゙	だくてん|り	濁点付き仮名	55
る゙	だくてん|る	濁点付き仮名	54
れ゙	だくてん|れ	濁点付き仮名	53
ろ゙	だくてん|ろ	濁点付き仮名	52
ゎ	こがきもじ|すてがな|わ	捨て仮名 小書き文字	1362
わ゙	だくてん|わ|ゔぁ	濁点付き仮名	51
ゐ゙	い|うぃ|だくてん|ゐ|ゔぃ	濁点付き仮名	50
ゑ゙	うぇ|え|だくてん|ゑ|ゔぇ	濁点付き仮名	49
を゙	だくてん|を|ゔぉ	濁点付き仮名	48
ん゙	だくてん|ん	濁点付き仮名	47
゛	きごう|だくてん|てん|てんてん	濁点	2012
゜	きごう|てん|はんだくてん|まる	半濁点	2011
ゝ	おくりじ|おどり|おどりじ|おなじ|かさねじ|きごう|くりかえし|じゅうてん|じょうじ|どう|ゆすりじ	繰り返し記号 踊り字	1995
ゞ	おくりじ|おどり|おどりじ|おなじ|かさねじ|きごう|くりかえし|じゅうてん|じょうじ|どう|ゆすりじ	繰り返し記号 踊り字	1994
ゟ	ごうじ|より	合字	1361
゠	だぶるはいふん	ダブルハイフン	1941
ァ	あ|こがきもじ|すてがな	捨て仮名 小書き文字	1360
ァ゙	ぁ|あ|だくてん	濁点付き仮名	45
ア゙	あ|だくてん	濁点付き仮名	46
ィ	い|こがきもじ|すてがな	捨て仮名 小書き文字	1359
ィ゙	ぃ|い|だくてん	濁点付き仮名	43
イ゙	い|だくてん	濁点付き仮名	44
ゥ	う|こがきもじ|すてがな	捨て仮名 小書き文字	1358
ゥ゙	ぅ|う|だくてん	濁点付き仮名	42
ェ	え|こがきもじ|すてがな	捨て仮名 小書き文字	1357
ェ゙	ぇ|え|だくてん	濁点付き仮名	40
エ゙	え|だくてん	濁点付き仮名	41
ォ	お|こがきもじ|すてがな	捨て仮名 小書き文字	1356
ォ゙	ぉ|お|だくてん	濁点付き仮名	38
オ゙	お|だくてん	濁点付き仮名	39
カ゚	か|が|びだくおん	鼻濁音	5
キ゚	き|ぎ|びだくおん	鼻濁音	4
ク゚	く|ぐ|びだくおん	鼻濁音	3
ケ゚	け|げ|びだくおん	鼻濁音	2
コ゚	こ|ご|びだくおん	鼻濁音	1
セ゚	あいぬ|せ	アイヌ語カナ	376
ッ	こがきもじ|すてがな|つ	捨て仮名 小書き文字	1353
ッ゙	だくてん|っ|づ	濁点付き仮名	37
ツ゚	あいぬ|つ	アイヌ語カナ	375
ト゚	あいぬ|と	アイヌ語カナ	374
ナ゙	だくてん|な	濁点付き仮名	36
ニ゙	だくてん|に	濁点付き仮名	35
ヌ゙	だくてん|ぬ	濁点付き仮名	34
ネ゙	だくてん|ね	濁点付き仮名	33
ノ゙	だくてん|の	濁点付き仮名	32
マ゙	だくてん|ま	濁点付き仮名	31
ミ゙	だくてん|み	濁点付き仮名	30
ム゙	だくてん|む	濁点付き仮名	29
メ゙	だくてん|め	濁点付き仮名	28
モ゙	だくてん|も	濁点付き仮名	27
ャ	こがきもじ|すてがな|や	捨て仮名 小書き文字	1352
ャ゙	だくてん|ゃ|や	濁点付き仮名	25
ヤ゙	だくてん|や	濁点付き仮名	26
ュ	こがきもじ|すてがな|ゆ	捨て仮名 小書き文字	1351
ュ゙	だくてん|ゅ|ゆ	濁点付き仮名	23
ユ゙	だくてん|ゆ	濁点付き仮名	24
ョ	こがきもじ|すてがな|よ	捨て仮名 小書き文字	1350
ョ゙	だくてん|ょ|よ	濁点付き仮名	21
ヨ゙	だくてん|よ	濁点付き仮名	22
ラ゙	だくてん|ら	濁点付き仮名	20
リ゙	だくてん|り	濁点付き仮名	19
ル゙	だくてん|る	濁点付き仮名	18
レ゙	だくてん|れ	濁点付き仮名	17
ロ゙	だくてん|ろ	濁点付き仮名	16
ヮ	こがきもじ|すてがな|わ	捨て仮名 小書き文字	1349
ン゙	だくてん|ん	濁点付き仮名	11
ヵ	か|こがきもじ|すてがな	捨て仮名 小書き文字	1355
ヶ	け|こがきもじ|すてがな	捨て仮名 小書き文字	1354
ヷ	だくてん|わ|ゔぁ	濁点付き仮名	15
ヸ	い|うぃ|だくてん|ゐ|ゔぃ	濁点付き仮名	14
ヹ	うぇ|え|だくてん|ゑ|ゔぇ	濁点付き仮名	13
ヺ	だくてん|を|ゔぉ	濁点付き仮名	12
・	てん|なかぐろ|なかてん	中点	2021
ー	ー	長音	1989
ヽ	おくりじ|おどり|おどりじ|おなじ|かさねじ|きごう|くりかえし|じゅうてん|じょうじ|どう|ゆすりじ	繰り返し記号 踊り字	1997
ヾ	おくりじ|おどり|おどりじ|おなじ|かさねじ|きごう|くりかえし|じゅうてん|じょうじ|どう|ゆすりじ	繰り返し記号 踊り字	1996
ㇰ	あいぬ|く	アイヌ語カナ	393
ㇱ	あいぬ|し	アイヌ語カナ	392
ㇲ	あいぬ|す	アイヌ語カナ	391
ㇳ	あいぬ|と	アイヌ語カナ	390
ㇴ	あいぬ|ぬ	アイヌ語カナ	389
ㇵ	あいぬ|は	アイヌ語カナ	388
ㇶ	あいぬ|ひ	アイヌ語カナ	387
ㇷ	あいぬ|ふ	アイヌ語カナ	386
ㇷ゚	あいぬ|ぷ	アイヌ語カナ	377
ㇸ	あいぬ|へ	アイヌ語カナ	385
ㇹ	あいぬ|ほ	アイヌ語カナ	384
ㇺ	あいぬ|む	アイヌ語カナ	383
ㇻ	あいぬ|ら	アイヌ語カナ	382
ㇼ	あいぬ|り	アイヌ語カナ	381
ㇽ	あいぬ|る	アイヌ語カナ	380
ㇾ	あいぬ|れ	アイヌ語カナ	379
ㇿ	あいぬ|ろ	アイヌ語カナ	378
㈠	かっこいち	括弧漢数字	1406
㈡	かっこに	括弧漢数字	1405
